c,zeta_pH5.5,zeta_pH5.8,zeta_pH6.1
1e-05,-128.51609151839648,-140.31786091963113,-151.19150456887326
1.2328467394420658e-05,-126.84788807479059,-138.3500373491679,-148.9445389918826
1.5199110829529332e-05,-125.08646776953847,-136.29919790557946,-146.61076155663562
1.873817422860383e-05,-123.23626127207159,-134.1661296600223,-144.18593203788797
2.310129700083158e-05,-121.30092127850205,-131.95017756889413,-141.66436682762205
2.8480358684358048e-05,-119.2830445362941,-129.64918760845742,-139.0390824740073
3.511191734215127e-05,-117.18397216249195,-127.2595061716641,-136.30202645284862
4.328761281083062e-05,-115.00366031543057,-124.77603911724194,-133.44441103890696
5.3366992312063123e-05,-112.7406133236332,-122.19238031813013,-130.4571608925736
6.579332246575683e-05,-110.39187516907559,-119.50102458587813,-127.33147268804021
8.111308307896872e-05,-107.95308121396039,-116.69368165186377,-124.05946586367921
0.0001,-105.41857870350478,-113.76170455255593,-120.63487995267612
0.0001232846739442066,-102.78163028385119,-110.69663568497751,-117.05375153848611
0.0001519911082952933,-100.03471779171926,-107.49085649771357,-113.31499042726692
0.0001873817422860383,-97.16996197876858,-104.13830399545982,-109.42077746812258
0.00023101297000831605,-94.17966583660366,-100.63519365630425,-105.3767288731631
0.0002848035868435802,-91.05697384151492,-96.9806712807048,-101.19181041449549
0.0003511191734215131,-87.79661768012134,-93.17731350712799,-96.87802948175597
0.00043287612810830614,-84.39569459925409,-89.23141307092509,-92.44997082421501
0.0005336699231206312,-80.85440405821385,-85.15301896321908,-87.92426259077772
0.0006579332246575682,-77.17665975957227,-80.95574504268805,-83.3190592696271
0.0008111308307896872,-73.3705034178478,-76.65640067590265,-78.65361058080396
0.001,-69.44827437645209,-72.27452189199296,-73.94795785377094
0.0012328467394420659,-65.42652881808475,-67.83188528504152,-69.22276996986888
0.0015199110829529332,-61.3257418443476,-63.35207078589322,-64.49930527982802
0.001873817422860385,-57.1698525852881,-58.86011026938975,-59.79946652597556
0.0023101297000831605,-52.9857190085847,-54.38222546631115,-55.14590271851504
0.002848035868435802,-48.80253522076766,-49.94562827529932,-50.56210405981243
0.003511191734215131,-44.65123672278867,-45.578334197882626,-46.072432545126446
0.004328761281083057,-40.563888813118275,-41.30892784793554,-41.70203201005666
0.005336699231206312,-36.573030422562496,-37.166219611561665,-37.476568543196954
0.006579332246575682,-32.710937505188696,-33.178745179803975,-33.42176732343857
0.008111308307896872,-29.008779827128066,-29.374084536809562,-29.56273640144588
0.01,-25.49567096961117,-25.778011782430976,-25.923100806731384
0.012328467394420659,-22.197647328520993,-22.41352659752896,-22.524007238391782
0.015199110829529346,-19.13664797066044,-19.299853912007556,-19.383092709241225
0.018738174228603847,-16.329592382508892,-16.451520973599088,-16.51353071495809
0.023101297000831605,-13.787658974044147,-13.877623430621677,-13.923268864124342
0.02848035868435802,-11.515851264106681,-11.581372829107982,-11.614551155254878
0.03511191734215131,-9.512905750580826,-9.559982489221328,-9.583781693207047
0.043287612810830614,-7.771555256906995,-7.804906992110182,-7.821744489583506
0.05336699231206313,-6.279123992547446,-6.302412295689479,-6.31415577030489
0.06579332246575682,-5.018401533709748,-5.034424335432592,-5.042496249729282
0.08111308307896872,-3.968722863718969,-3.9795839387328313,-3.9850510262117758
0.1,-3.1071678370469655,-3.11442208355213,-3.1180710952253774
