c,zeta_pH5.5,zeta_pH5.8,zeta_pH6.1
1e-05,-128.135506829256,-140.0648231879071,-151.25355205800614
1.2328467394420658e-05,-126.49410526535237,-138.16695074744192,-149.1631024440887
1.5199110829529332e-05,-124.76934909296426,-136.20658388312805,-147.02463435880506
1.873817422860383e-05,-122.96825647203246,-134.1890938710958,-144.84127314003598
2.310129700083158e-05,-121.09757535141645,-132.11917511122445,-142.615576581645
2.8480358684358048e-05,-119.16357847383715,-130.00085102542613,-140.34960297514564
3.511191734215127e-05,-117.17193915680936,-127.83751215791223,-138.04498081825363
4.328761281083062e-05,-115.12767482789505,-125.63197407502902,-135.70297623898387
5.3366992312063123e-05,-113.03514257427027,-123.38654554293966,-133.32455580382918
6.579332246575683e-05,-110.89807137153348,-121.10310018952629,-130.91044353261304
8.111308307896872e-05,-108.71961781170178,-118.7831471499018,-128.4611717179622
0.0001,-106.502434982202,-116.42789797093187,-125.97712563580326
0.0001232846739442066,-104.24874696483359,-114.03832833954523,-123.45858251619799
0.0001519911082952933,-101.96042386371096,-111.61523408270168,-120.90574528650366
0.0001873817422860383,-99.63905420212166,-109.15928145612075,-118.31877165058248
0.00023101297000831605,-97.28601295410645,-106.67105207937766,-115.69779906409494
0.0002848035868435802,-94.90252446704518,-104.1510830566621,-113.04296613152155
0.0003511191734215131,-92.4897201772111,-101.59990289874351,-110.35443090238788
0.00043287612810830614,-90.04869140847103,-99.01806387112347,-107.63238649382245
0.0005336699231206312,-87.5805377483109,-96.40617136262263,-104.87707442256044
0.0006579332246575682,-85.08641157154271,-93.76491081546678,-102.08879599889673
0.0008111308307896872,-82.56755927091424,-91.09507269361632,-99.26792212516699
0.001,-80.02535968284582,-88.39757589777693,-96.41490186088863
0.0012328467394420659,-77.4613600830128,-85.67348996796579,-93.53027017742254
0.0015199110829529332,-74.87730998083524,-82.92405635153463,-90.61465544274651
0.001873817422860385,-72.27519276998643,-80.15070896040258,-87.66878737265384
0.0023101297000831605,-69.65725509772858,-77.35509420185842,-84.69350648493845
0.002848035868435802,-67.02603360344926,-74.53909065135524,-81.68977652897557
0.003511191734215131,-64.38437845317883,-71.70482855571603,-78.65870196629888
0.004328761281083057,-61.73547287418765,-68.8547094277266,-75.60155337191352
0.005336699231206312,-59.08284769164955,-65.9914261382746,-72.51980460964886
0.006579332246575682,-56.43038971708211,-63.11798415043603,-69.41518675244639
0.008111308307896872,-53.782342775775824,-60.23772488514675,-66.28976481722324
0.01,-51.14330023725193,-57.35435265481316,-63.146044155937126
0.012328467394420659,-48.51818818342464,-54.471967103446154,-59.98711326586907
0.015199110829529346,-45.912238862914336,-51.59510353341577,-56.81682807816221
0.018738174228603847,-43.33095486391585,-48.72878365779754,-53.6400384759751
0.023101297000831605,-40.78006547214084,-45.87857883668861,-50.46284991318054
0.02848035868435802,-38.26547786686593,-43.05068624608235,-47.29290105219333
0.03511191734215131,-35.793226941113325,-40.2520151412314,-44.13962300221733
0.043287612810830614,-33.369428279833784,-37.490275005270426,-41.01442967838849
0.05336699231206313,-31.000238750828114,-34.774050001678354,-37.93077704288496
0.06579332246575682,-28.69182777999439,-32.112835806036905,-34.904028225166805
0.08111308307896872,-26.450359341595473,-29.517007917897214,-31.951077839106855
0.1,-24.28198000992975,-26.997688500929925,-29.089724204792407
