c,zeta_pH5.5,zeta_pH5.8,zeta_pH6.1
1e-05,-128.48577161874672,-140.47268383294744,-151.73082449268796
1.2328467394420658e-05,-126.85980958243768,-138.59419111496075,-149.6629884000903
1.5199110829529332e-05,-125.15165311190479,-136.65421536076724,-147.5478384535391
1.873817422860383e-05,-123.36827730007074,-134.65804360011427,-145.38835707218217
2.310129700083158e-05,-121.51637312921166,-132.6102697838292,-143.18693269441027
2.8480358684358048e-05,-119.6021422589993,-130.5147983080235,-140.94542271147958
3.511191734215127e-05,-117.63117197907826,-128.37487896770975,-138.66521703125477
4.328761281083062e-05,-115.60837723480408,-126.19316088880342,-136.34729817695262
5.3366992312063123e-05,-113.53799394393592,-123.97175584801379,-133.99229541177846
6.579332246575683e-05,-111.42360823645811,-121.71230409224636,-131.60053150153394
8.111308307896872e-05,-109.26820839992425,-119.41603803332659,-129.17206147336645
0.0001,-107.07424912994637,-117.08384094055386,-126.70670319572666
0.0001232846739442066,-104.84372048238755,-114.71629901568087,-124.204059879753
0.0001519911082952933,-102.57821634157224,-112.31374609569419,-121.66353476047544
0.0001873817422860383,-100.27899912846924,-109.87630078499039,-119.0843383206405
0.00023101297000831605,-97.94705888147291,-107.40389616172504,-116.46548852629958
0.0002848035868435802,-95.58316582338034,-104.89630241265199,-113.80580470458874
0.0003511191734215131,-93.18791617690819,-102.35314289395004,-111.10389596569424
0.00043287612810830614,-90.76177140185398,-99.77390425071158,-108.35814551448473
0.0005336699231206312,-88.30509128284334,-97.15794140896175,-105.56669288276052
0.0006579332246575682,-85.81816146768051,-94.5044785356801,-102.72741711711113
0.0008111308307896872,-83.30121620206712,-91.81260750274308,-99.83792535438296
0.001,-80.75445717947592,-89.08128605420082,-96.89555305862918
0.0012328467394420659,-78.17806967499959,-86.30933883060821,-93.89738447220758
0.0015199110829529332,-75.57223750876162,-83.49546571132129,-90.84030442202581
0.001873817422860385,-72.93715893831349,-80.63826363181215,-87.721095190712
0.0023101297000831605,-70.27306635769854,-77.73627009081194,-84.53659408801002
0.002848035868435802,-67.58025371755524,-74.78803883142723,-81.28392765345293
0.003511191734215131,-64.85911687541872,-71.79226030595251,-77.96083576263878
0.004328761281083057,-62.110213567559676,-68.74794086041797,-74.56609184664862
0.005336699231206312,-59.3343511678832,-65.65465407274776,-71.10001288062517
0.006579332246575682,-56.53271147461059,-62.512873961411515,-67.56503478098071
0.008111308307896872,-53.70702178209572,-59.32439131628176,-63.96630731126149
0.01,-50.85977948721642,-56.092800021142224,-60.312241764164305
0.012328467394420659,-47.99453224308496,-52.82401997467134,-56.61493048362056
0.015199110829529346,-45.11620603884351,-49.52679930912459,-52.890355537443575
0.018738174228603847,-42.2314589934322,-46.213116150162854,-49.15831783568155
0.023101297000831605,-39.34902001855757,-42.898386746459465,-45.44204669903092
0.02848035868435802,-36.47995213563233,-39.601390568921126,-41.76748814024559
0.03511191734215131,-33.63776619790437,-36.343849342773765,-38.162310709375575
0.043287612810830614,-30.83830997142182,-33.14964521539527,-34.65470408333256
0.05336699231206313,-28.09937690840657,-30.04372495408271,-31.27207311755425
0.06579332246575682,-25.44002041247019,-27.05079764053169,-28.03974591676494
0.08111308307896872,-22.879616446715335,-24.193976568918902,-24.979816247985607
0.1,-20.436775072470702,-21.493529751752813,-22.110226432567362
